method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,0.0024799389,0.0000000000,5,1
PISR-NSGA-II,Thomas-Fermi,1,238.9609378816,0.0000000000,3,1
PISR-NSGA-II,Thomas-Fermi,1,238.9609378816,0.0000000000,3,1
PISR-NSGA-II,Thomas-Fermi,1,577.8072287942,0.0000000000,2,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,577.8072287942,0.0000000000,2,1
PISR-NSGA-II,Thomas-Fermi,1,577.8072287942,0.0000000000,2,1
PISR-NSGA-II,Thomas-Fermi,1,577.8072287942,0.0000000000,2,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
PISR-NSGA-II,Thomas-Fermi,1,699.6798930178,0.0000000000,1,1
