method,pde,pareto_size,best_mse_domain,best_mse_boundary,mean_mse_domain,mean_mse_boundary,hypervolume,runtime_s
PISR-EMOA/D,Airy_1D,184,0.0000000000,0.0000000000,0.0528781798,0.1812616568,0.9333322330,0.3787472940
RK4/FDM,Airy_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000093380
PISR-EMOA/D,Fisher_1D,196,0.0000000000,0.0000000000,0.0228849245,0.0802487109,0.9523804563,0.9551032440
RK4/FDM,Fisher_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000161320
PISR-EMOA/D,Duffing_1D,300,0.0060977758,0.0000001130,0.2001328354,0.1130473036,0.9655151110,147.2555688850
RK4/FDM,Duffing_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000365610
PISR-EMOA/D,ThomasFermi_1D,242,0.0000000000,0.0000000000,13.0489090427,0.6850519254,0.9166506770,1.0773028800
RK4/FDM,ThomasFermi_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000487950
PISR-EMOA/D,Airy_2D,198,0.0000000000,0.0000000000,0.1706879987,0.1028406551,0.8888838054,0.8368589490
RK4/FDM,Airy_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1190107410
PISR-EMOA/D,Fisher_2D,209,0.0000000000,0.0000000000,0.0192052937,0.0849507365,0.9565207589,2.0846880900
RK4/FDM,Fisher_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.1291222460
PISR-EMOA/D,Duffing_2D,300,0.0830692971,0.0000000000,0.2381151625,0.0376558153,0.9333225689,357.1502057850
RK4/FDM,Duffing_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2315979340
PISR-EMOA/D,ThomasFermi_2D,209,0.0000000000,0.0000000000,2.3702795413,0.2265300456,0.8888786812,1.7153588120
RK4/FDM,ThomasFermi_2D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.2847010600
PISR-EMOA/D,Navier-Stokes_2D,131,0.0000000000,0.0000000000,0.0006621204,0.0000016344,0.9230769224,10.0419489810
PISR-EMOA/D,Navier-Stokes-Unsteady_2D,146,0.0000000000,0.0000000000,1.5637090533,0.0202646347,0.9333311418,12.6310431200
PISR-EMOA/D,Lane-Emden_1D,169,0.0000000000,0.0000000000,0.0456800126,0.1962166044,0.9333331600,0.9742661170
RK4/FDM,Lane-Emden_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000828190
PISR-EMOA/D,Troesch_1D,126,0.0000000000,0.0000000000,5.7867753431,0.2342990426,0.9444444268,0.3088775330
RK4/FDM,Troesch_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000962340
PISR-EMOA/D,Ginzburg-Landau_1D,95,0.0000000000,0.0000000000,0.0331246135,0.1483352707,0.9444442865,0.4127008590
RK4/FDM,Ginzburg-Landau_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000209820
PISR-EMOA/D,Painleve-I_1D,300,0.0048896659,0.0000000000,0.3804063206,0.0445438094,0.9285629703,58.3510592200
RK4/FDM,Painleve-I_1D,1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000196290
