x,y,u_exact,u_approx
0,0,1,1
0,0.0333333,0.967216,0.967216
0,0.0666667,0.935507,0.935507
0,0.1,0.904837,0.904837
0,0.133333,0.875173,0.875173
0,0.166667,0.846482,0.846482
0,0.2,0.818731,0.818731
0,0.233333,0.79189,0.79189
0,0.266667,0.765928,0.765928
0,0.3,0.740818,0.740818
0,0.333333,0.716531,0.716531
0,0.366667,0.693041,0.693041
0,0.4,0.67032,0.67032
0,0.433333,0.648344,0.648344
0,0.466667,0.627089,0.627089
0,0.5,0.606531,0.606531
0,0.533333,0.586646,0.586646
0,0.566667,0.567414,0.567414
0,0.6,0.548812,0.548812
0,0.633333,0.530819,0.530819
0,0.666667,0.513417,0.513417
0,0.7,0.496585,0.496585
0,0.733333,0.480305,0.480305
0,0.766667,0.464559,0.464559
0,0.8,0.449329,0.449329
0,0.833333,0.434598,0.434598
0,0.866667,0.42035,0.42035
0,0.9,0.40657,0.40657
0,0.933333,0.393241,0.393241
0,0.966667,0.380349,0.380349
0,1,0.367879,0.367879
0.0333333,0,0.967216,0.967216
0.0333333,0.0333333,0.935507,0.936712
0.0333333,0.0666667,0.904837,0.907144
0.0333333,0.1,0.875173,0.878461
0.0333333,0.133333,0.846482,0.850615
0.0333333,0.166667,0.818731,0.823568
0.0333333,0.2,0.79189,0.797286
0.0333333,0.233333,0.765928,0.771744
0.0333333,0.266667,0.740818,0.746918
0.0333333,0.3,0.716531,0.722791
0.0333333,0.333333,0.693041,0.69935
0.0333333,0.366667,0.67032,0.67658
0.0333333,0.4,0.648344,0.654472
0.0333333,0.433333,0.627089,0.633014
0.0333333,0.466667,0.606531,0.612196
0.0333333,0.5,0.586646,0.592006
0.0333333,0.533333,0.567414,0.572434
0.0333333,0.566667,0.548812,0.553467
0.0333333,0.6,0.530819,0.535093
0.0333333,0.633333,0.513417,0.517299
0.0333333,0.666667,0.496585,0.500071
0.0333333,0.7,0.480305,0.483395
0.0333333,0.733333,0.464559,0.467258
0.0333333,0.766667,0.449329,0.451645
0.0333333,0.8,0.434598,0.436541
0.0333333,0.833333,0.42035,0.421933
0.0333333,0.866667,0.40657,0.407805
0.0333333,0.9,0.393241,0.394144
